Date,Discharge,BOD,TSS,OG,pH,Phenols,COD
7/31/2015,,,20,-,8,<0.1,50
8/1/2015,,,16,-,8,<0.1,57
8/2/2015,,,36,-,8,<0.1,50
8/3/2015,,14,25,-,8,<0.1,52
8/4/2015,,,18,-,8,<0.1,10
8/5/2015,,,16,-,8,<0.1,42
8/6/2015,,,13,-,8,<0.1,56
8/7/2015,,,25,-,8,<0.1,54
8/8/2015,,,28,-,8,<0.1,33
8/9/2015,No discharge,,17,-,8,<0.1,64
8/10/2015,,3,19,-,8,<0.1,54
8/11/2015,,,23,-,8,<0.1,22
8/12/2015,,,14,-,8,<0.1,36
8/13/2015,,,20,-,8,<0.1,58
8/14/2015,,,21,-,8,<0.1,10
8/15/2015,,,26,-,8,<0.1,45
8/16/2015,,,28,-,8,<0.1,42
8/17/2015,,13,47,-,8,<0.1,58
8/18/2015,No discharge,,113,-,8,<0.1,182
8/19/2015,,,49,-,-,-,-
8/20/2015,No discharge,,64,-,-,-,-
8/21/2015,No discharge,,63,-,8,<0.1,14
8/22/2015,No discharge,,56,-,7,<0.1,14
8/23/2015,No discharge,,53,-,7,<0.1,21
8/24/2015,No discharge,13,54,-,8,<0.1,41
8/25/2015,,,27,-,8,<0.1,55
8/26/2015,,,29,-,8,<0.1,18
8/27/2015,No discharge,,41,-,8,<0.1,274
8/28/2015,No discharge,,39,-,8,<0.1,75
8/29/2015,,,50,-,8,<0.1,18
8/30/2015,,,38,-,8,<0.1,25
8/31/2015,,,29,-,7,<0.1,10
9/1/2015,,,33,-,7,<0.1,26
9/2/2015,No discharge,,-,-,7,<0.1,594
9/3/2015,No discharge,,-,-,8,<0.1,491
9/4/2015,No discharge,,-,-,8,<0.1,263
9/5/2015,No discharge,,-,-,7,<0.1,88
9/6/2015,No discharge,,-,-,8,<0.1,76
9/7/2015,,20,6,-,8,<0.1,35
9/8/2015,No discharge,,13,2,9,<0.1,112
9/9/2015,No discharge,,30,-,8,<0.1,84
9/10/2015,No discharge,,-,-,8,<0.1,61
9/11/2015,,,-,-,7,<0.1,25
9/12/2015,,,-,-,8,<0.1,52
9/13/2015,,,45,-,7,<0.1,32
9/14/2015,No discharge,19,29,-,7,<0.1,66
9/15/2015,,,40,-,7,<0.1,39
9/16/2015,No discharge,,52,-,7,<0.1,38
9/17/2015,,,48,-,7,<0.1,49
9/18/2015,No discharge,,58,-,7,<0.1,4
9/19/2015,No discharge,,62,-,8,<0.1,73
9/20/2015,No discharge,,53,-,8,<0.1,44
9/21/2015,,20,33,-,8,<0.1,39
9/22/2015,,,46,-,8,<0.1,38
9/23/2015,,,27,-,-,-,-
9/24/2015,,,36,-,8,<0.1,27
9/25/2015,,,34,-,8,<0.1,56
9/26/2015,,,8,-,8,<0.1,52
9/27/2015,,,5,-,8,<0.1,42
9/28/2015,,,6,-,8,<0.1,53
9/29/2015,,,-,-,8,<0.1,52
9/30/2015,,,-,-,8,<0.1,54
10/1/2015,,,No data,nil,8,<0.1,49
