"Date","Discharge","BOD","TSS","OG","pH","Phenols","COD","Source"
2015-09-18,NA,NA,NA,1.3,7,0.05,46,"WWTP-1"
2015-09-19,NA,NA,NA,1.3,7,0.05,44,"WWTP-1"
2015-09-20,NA,NA,NA,NA,7,0.03,49,"WWTP-1"
2015-09-21,NA,17,11,NA,7,0.05,38,"WWTP-1"
2015-09-22,NA,NA,NA,NA,7,0.05,40,"WWTP-1"
2015-09-23,NA,NA,NA,NA,7,0.02,46,"WWTP-1"
2015-09-24,NA,NA,NA,NA,7,0.02,16,"WWTP-1"
2015-09-25,NA,NA,NA,1.3,7,0.02,31,"WWTP-1"
2015-09-26,NA,NA,NA,NA,7,0.04,44,"WWTP-1"
2015-09-27,NA,NA,NA,NA,7,0.02,52,"WWTP-1"
2015-09-28,NA,17,10,NA,7,0.02,47,"WWTP-1"
2015-09-29,NA,NA,NA,NA,8,0.01,32,"WWTP-1"
2015-09-30,NA,NA,NA,1.3,7,0.04,50,"WWTP-1"
2015-10-01,NA,NA,NA,0,8,0.01,55,"WWTP-1"
2015-10-02,NA,NA,NA,0,7,0.01,60,"WWTP-1"
2015-10-03,NA,NA,NA,1.33,7,0.02,45,"WWTP-1"
2015-10-04,NA,NA,NA,2,7,0.03,43,"WWTP-1"
2015-10-05,NA,20,25,1.33,7,0.01,33,"WWTP-1"
2015-10-06,NA,NA,NA,1.33,7,0.01,30,"WWTP-1"
2015-10-07,NA,NA,NA,1.33,8,0.04,46,"WWTP-1"
2015-10-08,NA,NA,NA,1.33,7,0.02,36,"WWTP-1"
2015-10-09,NA,NA,NA,1.33,8,0.04,37,"WWTP-1"
2015-10-10,NA,NA,NA,1.33,7,0.03,39,"WWTP-1"
2015-10-11,NA,NA,NA,2,7,0.04,36,"WWTP-1"
2015-10-12,NA,26,17,1.33,7,0.01,49,"WWTP-1"
2015-10-13,NA,NA,NA,1.33,7,0.01,42,"WWTP-1"
2015-10-14,NA,NA,NA,2.66,7,0.01,43,"WWTP-1"
2015-10-15,NA,NA,NA,2.66,7,0.02,59,"WWTP-1"
2015-10-16,NA,NA,NA,2.66,7,0.04,54,"WWTP-1"
2015-10-17,NA,NA,NA,4,8,0.03,53,"WWTP-1"
2015-10-18,NA,NA,NA,1.33,8,0.02,57,"WWTP-1"
2015-10-19,NA,NA,NA,1.33,7,0.05,43,"WWTP-1"
2015-10-20,NA,6,25,1.33,7,0.02,28,"WWTP-1"
2015-10-21,NA,NA,NA,2.66,7,0.02,36,"WWTP-1"
2015-10-22,NA,NA,NA,1.33,7,0.02,47,"WWTP-1"
2015-10-23,NA,NA,NA,1.33,7,0.02,40,"WWTP-1"
2015-10-24,NA,NA,NA,1.33,7,0.03,29,"WWTP-1"
2015-10-25,NA,NA,NA,1.33,7,0.04,33,"WWTP-1"
2015-10-26,NA,16,33,1.33,7,0.04,55,"WWTP-1"
2015-10-27,NA,NA,NA,1.33,7,0.02,24,"WWTP-1"
2015-10-28,NA,NA,NA,1.33,8,0.02,39,"WWTP-1"
2015-10-29,NA,NA,NA,1.33,7,0.01,52,"WWTP-1"
2015-10-30,NA,NA,NA,1.33,8,0.01,57,"WWTP-1"
2015-10-31,NA,NA,NA,1.33,7,0.01,52,"WWTP-1"
2015-11-01,NA,NA,NA,1.33,7,0.05,51,"WWTP-1"
2015-11-02,NA,26,17,1.33,7,0.01,31,"WWTP-1"
2015-11-03,NA,NA,NA,1.33,7,0.02,50,"WWTP-1"
2015-11-04,NA,NA,NA,1.33,7,0.01,46,"WWTP-1"
2015-11-05,NA,NA,NA,1.33,7,0.04,36,"WWTP-1"
2015-11-06,NA,NA,NA,1.33,7,0.01,37,"WWTP-1"
2015-11-07,NA,NA,NA,1.33,7,0.03,35,"WWTP-1"
2015-11-08,NA,NA,NA,2.66,7,0.04,46,"WWTP-1"
2015-11-09,NA,9,36,1.33,7,0.01,51,"WWTP-1"
2015-11-10,NA,NA,NA,1.33,7,0.01,50,"WWTP-1"
2015-11-11,NA,NA,NA,2.66,7,0.01,32,"WWTP-1"
2015-11-12,NA,NA,NA,1.33,7,0.03,35,"WWTP-1"
2015-11-13,NA,NA,NA,1.33,7,0.04,28,"WWTP-1"
2015-11-14,NA,NA,NA,1.33,7,0.04,24,"WWTP-1"
2015-11-15,NA,NA,NA,1.33,7,0.02,29,"WWTP-1"
2015-11-16,NA,20,24,1.33,7,0.02,29,"WWTP-1"
2015-11-17,NA,NA,NA,1.33,7,0.02,38,"WWTP-1"
2015-11-18,NA,NA,NA,1.33,7,0.04,37,"WWTP-1"
2015-11-19,NA,NA,NA,1.33,7,0.04,35,"WWTP-1"
2015-11-20,NA,NA,NA,1.33,7,0.01,36,"WWTP-1"
2015-11-21,NA,NA,NA,1.33,7,0.01,30,"WWTP-1"
2015-11-22,NA,NA,NA,1.33,7,0.01,32,"WWTP-1"
2015-11-23,NA,16,50,1.33,7,0.01,42,"WWTP-1"
2015-11-24,NA,NA,NA,1.33,7,0.02,45,"WWTP-1"
2015-11-25,NA,NA,NA,1.33,7,0.01,44,"WWTP-1"
2015-11-26,NA,NA,NA,1.33,7,0.01,22,"WWTP-1"
2015-11-27,NA,NA,NA,1.33,7,0.03,34,"WWTP-1"
2015-11-28,NA,NA,NA,1.33,7,0.02,29,"WWTP-1"
2015-11-29,NA,NA,NA,1.33,7,0.02,36,"WWTP-1"
2015-11-30,NA,NA,NA,1.33,7,0.01,27,"WWTP-1"
2015-12-01,NA,10,21,2,7,0.01,19,"WWTP-1"
